"score","form"
43,"y"
34,"y"
31,"y"
38,"y"
37,"y"
42,"y"
36,"y"
32,"y"
39,"y"
43,"y"
34,"y"
38,"y"
40,"y"
39,"y"
39,"y"
47,"y"
35,"y"
37,"y"
33,"y"
35,"y"
40,"y"
33,"y"
37,"y"
39,"y"
39,"y"
42,"y"
37,"y"
39,"y"
33,"y"
32,"y"
36,"y"
31,"y"
39,"y"
44,"y"
38,"y"
42,"y"
34,"y"
34,"y"
39,"y"
38,"y"
35,"y"
41,"y"
37,"y"
41,"y"
40,"y"
40,"y"
40,"y"
35,"y"
39,"y"
39,"y"
37,"y"
35,"y"
35,"y"
38,"y"
39,"y"
36,"y"
44,"y"
39,"y"
39,"y"
40,"y"
39,"y"
38,"y"
41,"y"
40,"y"
35,"y"
31,"y"
37,"y"
41,"y"
35,"y"
41,"y"
34,"y"
38,"y"
40,"y"
39,"y"
44,"y"
40,"y"
42,"y"
35,"y"
39,"y"
39,"y"
38,"y"
42,"y"
40,"y"
35,"y"
41,"y"
36,"y"
36,"y"
39,"y"
41,"y"
35,"y"
38,"y"
39,"y"
33,"y"
38,"y"
41,"y"
46,"y"
42,"y"
38,"y"
38,"y"
39,"y"
41,"y"
40,"y"
41,"y"
41,"y"
33,"y"
37,"y"
41,"y"
41,"y"
37,"y"
39,"y"
43,"y"
37,"y"
34,"y"
45,"y"
33,"y"
41,"y"
43,"y"
33,"y"
46,"y"
38,"y"
40,"y"
40,"y"
37,"y"
40,"y"
36,"y"
37,"y"
44,"y"
40,"y"
35,"y"
36,"y"
40,"y"
41,"y"
35,"y"
30,"y"
46,"y"
42,"y"
36,"y"
38,"y"
35,"y"
35,"y"
37,"y"
43,"y"
43,"y"
39,"y"
44,"y"
34,"y"
32,"y"
32,"y"
38,"y"
40,"y"
38,"y"
37,"y"
40,"y"
37,"y"
34,"y"
37,"y"
46,"y"
42,"y"
40,"y"
36,"y"
40,"y"
41,"y"
44,"y"
37,"y"
35,"y"
42,"y"
37,"y"
43,"y"
45,"y"
40,"y"
40,"y"
45,"y"
35,"y"
48,"y"
